geoid,lat,lng
17031720700,41.7031071,-87.6651388
17031730100,41.7251952,-87.6384256
17031730201,41.7268625,-87.6579016
17031730202,41.7264299,-87.6485425
17031730300,41.7274693,-87.6645667
17031730400,41.7178408,-87.6526479
17031730500,41.7142653,-87.6381377
17031730600,41.7106003,-87.6504857
17031730700,41.7030817,-87.6500793
17031740100,41.6972859,-87.6986083
17031740200,41.7047017,-87.7127057
17031740300,41.6950694,-87.7107233
17031740400,41.6872391,-87.7193158
17031750100,41.6958345,-87.6520283
17031750200,41.6956647,-87.6714247
17031750300,41.6953911,-87.6861726
17031750400,41.6856566,-87.685071
17031750500,41.6846154,-87.6712334
17031750600,41.6886312,-87.6520493
17031760801,41.9834867,-87.8448495
17031760802,41.9561268,-87.842621
17031760803,41.9753408,-87.8441356
17031770201,41.9976219,-88.0176952
17031770202,42.0286697,-88.0219089
17031770300,42.0411009,-88.0063939
17031770400,42.0246767,-87.9740263
17031770500,42.0080063,-87.9447433
17031770601,42.0291453,-87.9087421
17031770602,42.011911,-87.9074973
17031770700,41.9854357,-87.8694197
17031770800,41.9633197,-87.8664226
17031770901,41.970556,-87.8168604
17031770902,41.9700602,-87.8361806
17031800100,42.1339745,-87.7477294
17031800200,42.1344071,-87.7711018
17031800300,42.1125387,-87.7574932
17031800400,42.1116252,-87.7290577
17031800500,42.1002317,-87.7407481
17031800600,42.0887818,-87.7143339
17031800700,42.0847062,-87.7425824
17031800800,42.09722,-87.7586298
17031800900,42.0735095,-87.7527614
17031801000,42.0723092,-87.7348644
17031801100,42.0751828,-87.7149697
17031801200,42.0788722,-87.68483
17031801300,42.0741035,-87.6970402
17031801400,42.0711418,-87.7656006
17031801500,42.1399021,-87.8145971
17031801601,42.1452894,-87.863023
17031801603,42.087117,-87.8770893
17031801605,42.1291981,-87.8632115
17031801606,42.1163254,-87.8687084
17031801607,42.089417,-87.8589238
17031801608,42.1064279,-87.8310901
17031801701,42.1264867,-87.8429419
17031801702,42.1252389,-87.8281456
17031801800,42.1151825,-87.7875818
17031801901,42.094993,-87.8008408
17031801902,42.0865354,-87.7833677
17031802002,42.0732542,-87.8320839
17031802003,42.0795988,-87.8456411
17031802004,42.0693032,-87.8537258
17031802100,42.0722616,-87.8115442
17031802200,42.0729443,-87.7881169
17031802300,42.0904797,-87.8242139
17031802402,42.1479523,-87.9100992
17031802403,42.1418701,-87.9531258
17031802404,42.1477505,-87.9440326
17031802503,42.1316179,-87.9537744
17031802504,42.1343263,-87.9370604
17031802505,42.122275,-87.9126363
17031802506,42.1299534,-87.8977629
17031802605,42.097126,-87.9129492
17031802607,42.0979804,-87.933148
17031802608,42.1009482,-87.9488888
17031802609,42.1053603,-87.8996709
17031802610,42.0976999,-87.8954887
17031802701,42.0843917,-87.9166479
17031802702,42.0742533,-87.9076154
17031802801,42.0826842,-87.9568289
17031802802,42.071667,-87.9432469
17031802900,42.0971614,-87.9690169
17031803005,42.1322418,-87.9920463
17031803007,42.1317433,-87.9706739
17031803008,42.1181133,-87.9704677
17031803010,42.1512524,-87.979999
17031803012,42.1432824,-87.995232
17031803013,42.143092,-87.9718935
17031803014,42.1188515,-87.9327845
17031803015,42.1164128,-87.9496249
17031803016,42.1208172,-87.986523
17031803017,42.1191707,-87.9982585
17031803100,42.1003925,-87.9864133
17031803200,42.0988438,-87.9976755
17031803300,42.0850701,-87.9894768
17031803400,42.0745454,-87.9711873
17031803500,42.0739284,-87.9940638
17031803603,42.1203621,-88.0953704
17031803604,42.1298817,-88.0409769
17031803605,42.1280433,-88.0248514
17031803607,42.1185514,-88.0155401
17031803608,42.1440733,-88.0735467
17031803611,42.1481082,-88.018113
17031803612,42.1498523,-88.0087908
17031803613,42.1403097,-88.0135006
17031803614,42.1363338,-88.0112153
17031803615,42.1312692,-88.0784266
17031803616,42.130644,-88.0603591
17031803701,42.1190705,-88.0525589
17031803702,42.1056862,-88.054146
17031803800,42.109026,-88.0354428
17031803901,42.0973527,-88.0193821
17031803902,42.0829609,-88.0152318
17031804000,42.072763,-88.018075
17031804102,42.096721,-88.0754279
17031804104,42.1047153,-88.109166
17031804105,42.077721,-88.0965417
17031804106,42.0879204,-88.0500926
17031804108,42.0749485,-88.0507852
17031804109,42.0754963,-88.0367314
17031804202,42.1014508,-88.1308489
17031804203,42.0988871,-88.1581646
17031804204,42.1151722,-88.202193
